FeatureCode,DateCode,Measurement,Units,Value,Sex,Age,SIMD quintiles,Urban Rural Classification,place_name
S12000034,2015-2017,95% Lower Confidence Limit,Years,41.47,Female,25-29,All,All,Aberdeenshire
S12000034,2015-2017,95% Lower Confidence Limit,Years,45.92,Female,20-24,All,All,Aberdeenshire
S12000034,2015-2017,95% Lower Confidence Limit,Years,66.45,Male,0,All,All,Aberdeenshire
S12000034,2015-2017,95% Lower Confidence Limit,Years,61.72,Male,5-9,All,All,Aberdeenshire
S12000034,2015-2017,95% Lower Confidence Limit,Years,55.22,Female,10-14,All,All,Aberdeenshire
S12000034,2015-2017,95% Lower Confidence Limit,Years,50.47,Female,15-19,All,All,Aberdeenshire
S12000034,2015-2017,95% Lower Confidence Limit,Years,0.26,Female,90+,All,All,Aberdeenshire
S12000034,2015-2017,95% Lower Confidence Limit,Years,6.28,Female,70-74,All,All,Aberdeenshire
S12000034,2015-2017,95% Lower Confidence Limit,Years,9.37,Female,65-69,All,All,Aberdeenshire
S12000034,2015-2017,95% Lower Confidence Limit,Years,3.62,Female,75-79,All,All,Aberdeenshire
S12000034,2015-2017,95% Lower Confidence Limit,Years,12.8,Female,60-64,All,All,Aberdeenshire
S12000034,2015-2017,95% Lower Confidence Limit,Years,24.33,Female,45-49,All,All,Aberdeenshire
S12000034,2015-2017,95% Lower Confidence Limit,Years,16.43,Female,55-59,All,All,Aberdeenshire
S12000034,2015-2017,95% Lower Confidence Limit,Years,1.75,Female,80-84,All,All,Aberdeenshire
S12000034,2015-2017,95% Lower Confidence Limit,Years,0.7,Female,85-89,All,All,Aberdeenshire
S12000034,2015-2017,95% Lower Confidence Limit,Years,20.31,Female,50-54,All,All,Aberdeenshire
S12000034,2015-2017,95% Upper Confidence Limit,Years,16.16,Female,60-64,All,All,Aberdeenshire
S12000034,2015-2017,95% Upper Confidence Limit,Years,27.91,Female,45-49,All,All,Aberdeenshire
S12000034,2015-2017,95% Upper Confidence Limit,Years,19.84,Female,55-59,All,All,Aberdeenshire
S12000034,2015-2017,95% Upper Confidence Limit,Years,4.91,Female,80-84,All,All,Aberdeenshire
S12000034,2015-2017,95% Upper Confidence Limit,Years,3.16,Female,85-89,All,All,Aberdeenshire
S12000034,2015-2017,95% Upper Confidence Limit,Years,23.78,Female,50-54,All,All,Aberdeenshire
S12000034,2015-2017,95% Upper Confidence Limit,Years,2.55,Female,90+,All,All,Aberdeenshire
S12000034,2015-2017,95% Upper Confidence Limit,Years,6.98,Female,75-79,All,All,Aberdeenshire
S12000034,2015-2017,95% Upper Confidence Limit,Years,9.62,Female,70-74,All,All,Aberdeenshire
S12000034,2015-2017,95% Upper Confidence Limit,Years,12.7,Female,65-69,All,All,Aberdeenshire
S12000034,2015-2017,95% Upper Confidence Limit,Years,3.71,Male,85-89,All,All,Aberdeenshire
S12000034,2015-2017,95% Upper Confidence Limit,Years,5.47,Male,80-84,All,All,Aberdeenshire
S12000034,2015-2017,95% Upper Confidence Limit,Years,7.77,Male,75-79,All,All,Aberdeenshire
S12000034,2015-2017,95% Upper Confidence Limit,Years,69.78,Male,0,All,All,Aberdeenshire
S12000034,2015-2017,95% Upper Confidence Limit,Years,68.92,Male,1-4,All,All,Aberdeenshire
S12000034,2015-2017,95% Upper Confidence Limit,Years,65.05,Male,5-9,All,All,Aberdeenshire
S12000034,2015-2017,95% Upper Confidence Limit,Years,59.42,Female,10-14,All,All,Aberdeenshire
S12000034,2015-2017,95% Upper Confidence Limit,Years,54.61,Female,15-19,All,All,Aberdeenshire
S12000034,2015-2017,95% Upper Confidence Limit,Years,36.52,Male,35-39,All,All,Aberdeenshire
S12000034,2015-2017,95% Upper Confidence Limit,Years,32.1,Male,40-44,All,All,Aberdeenshire
S12000034,2015-2017,95% Upper Confidence Limit,Years,10.21,Male,70-74,All,All,Aberdeenshire
S12000034,2015-2017,95% Upper Confidence Limit,Years,19.97,Male,55-59,All,All,Aberdeenshire
S12000034,2015-2017,95% Upper Confidence Limit,Years,45.4,Female,25-29,All,All,Aberdeenshire
S12000034,2015-2017,95% Upper Confidence Limit,Years,13.13,Male,65-69,All,All,Aberdeenshire
S12000034,2015-2017,95% Upper Confidence Limit,Years,2.37,Male,90+,All,All,Aberdeenshire
S12000034,2015-2017,95% Upper Confidence Limit,Years,69.12,Female,0,All,All,Aberdeenshire
S12000034,2015-2017,95% Upper Confidence Limit,Years,16.4,Male,60-64,All,All,Aberdeenshire
S12000034,2015-2017,95% Upper Confidence Limit,Years,64.32,Female,5-9,All,All,Aberdeenshire
S12000034,2015-2017,95% Upper Confidence Limit,Years,36.44,Female,35-39,All,All,Aberdeenshire
S12000034,2015-2017,95% Upper Confidence Limit,Years,68.26,Female,1-4,All,All,Aberdeenshire
S12000034,2015-2017,95% Upper Confidence Limit,Years,49.96,Female,20-24,All,All,Aberdeenshire
S12000034,2015-2017,95% Upper Confidence Limit,Years,40.88,Female,30-34,All,All,Aberdeenshire
S12000034,2015-2017,95% Upper Confidence Limit,Years,32.11,Female,40-44,All,All,Aberdeenshire
S12000034,2015-2017,95% Upper Confidence Limit,Years,60.14,Male,10-14,All,All,Aberdeenshire
S12000034,2015-2017,95% Upper Confidence Limit,Years,55.23,Male,15-19,All,All,Aberdeenshire
S12000034,2015-2017,95% Upper Confidence Limit,Years,50.42,Male,20-24,All,All,Aberdeenshire
S12000034,2015-2017,95% Upper Confidence Limit,Years,45.69,Male,25-29,All,All,Aberdeenshire
S12000034,2015-2017,95% Upper Confidence Limit,Years,23.8,Male,50-54,All,All,Aberdeenshire
S12000034,2015-2017,95% Upper Confidence Limit,Years,41.04,Male,30-34,All,All,Aberdeenshire
S12000034,2015-2017,95% Upper Confidence Limit,Years,27.86,Male,45-49,All,All,Aberdeenshire
S12000034,2015-2017,Count,Years,22.39,Male,50-54,All,All,Aberdeenshire
S12000034,2015-2017,Count,Years,39.46,Male,30-34,All,All,Aberdeenshire
S12000034,2015-2017,Count,Years,26.4,Male,45-49,All,All,Aberdeenshire
S12000034,2015-2017,Count,Years,34.98,Male,35-39,All,All,Aberdeenshire
S12000034,2015-2017,Count,Years,30.6,Male,40-44,All,All,Aberdeenshire
S12000034,2015-2017,Count,Years,48.78,Male,20-24,All,All,Aberdeenshire
S12000034,2015-2017,Count,Years,44.07,Male,25-29,All,All,Aberdeenshire
S12000034,2015-2017,Count,Years,53.59,Male,15-19,All,All,Aberdeenshire
S12000034,2015-2017,Count,Years,58.48,Male,10-14,All,All,Aberdeenshire
S12000034,2015-2017,Count,Years,63.39,Male,5-9,All,All,Aberdeenshire
S12000034,2015-2017,Count,Years,67.26,Male,1-4,All,All,Aberdeenshire
S12000034,2015-2017,Count,Years,68.12,Male,0,All,All,Aberdeenshire
S12000034,2015-2017,Count,Years,30.28,Female,40-44,All,All,Aberdeenshire
S12000034,2015-2017,Count,Years,47.94,Female,20-24,All,All,Aberdeenshire
S12000034,2015-2017,Count,Years,34.58,Female,35-39,All,All,Aberdeenshire
S12000034,2015-2017,Count,Years,43.44,Female,25-29,All,All,Aberdeenshire
S12000034,2015-2017,Count,Years,38.97,Female,30-34,All,All,Aberdeenshire
S12000034,2015-2017,Count,Years,52.54,Female,15-19,All,All,Aberdeenshire
S12000034,2015-2017,Count,Years,57.32,Female,10-14,All,All,Aberdeenshire
S12000034,2015-2017,Count,Years,62.21,Female,5-9,All,All,Aberdeenshire
S12000034,2015-2017,Count,Years,66.14,Female,1-4,All,All,Aberdeenshire
S12000034,2015-2017,Count,Years,67.01,Female,0,All,All,Aberdeenshire
S12000034,2015-2017,Count,Years,6.52,Male,75-79,All,All,Aberdeenshire
S12000034,2015-2017,Count,Years,1.62,Male,90+,All,All,Aberdeenshire
S12000034,2015-2017,Count,Years,4.44,Male,80-84,All,All,Aberdeenshire
S12000034,2015-2017,Count,Years,2.85,Male,85-89,All,All,Aberdeenshire
S12000034,2015-2017,Count,Years,8.98,Male,70-74,All,All,Aberdeenshire
S12000034,2015-2017,Count,Years,11.88,Male,65-69,All,All,Aberdeenshire
S12000034,2015-2017,Count,Years,15.1,Male,60-64,All,All,Aberdeenshire
S12000034,2015-2017,Count,Years,18.63,Male,55-59,All,All,Aberdeenshire
S12000034,2015-2017,Count,Years,18.14,Female,55-59,All,All,Aberdeenshire
S12000034,2015-2017,Count,Years,1.41,Female,90+,All,All,Aberdeenshire
S12000034,2015-2017,Count,Years,5.3,Female,75-79,All,All,Aberdeenshire
S12000034,2015-2017,Count,Years,7.95,Female,70-74,All,All,Aberdeenshire
S12000034,2015-2017,Count,Years,11.04,Female,65-69,All,All,Aberdeenshire
S12000034,2015-2017,Count,Years,26.12,Female,45-49,All,All,Aberdeenshire
S12000034,2015-2017,Count,Years,22.04,Female,50-54,All,All,Aberdeenshire
S12000034,2015-2017,Count,Years,14.48,Female,60-64,All,All,Aberdeenshire
S12000034,2015-2017,Count,Years,1.93,Female,85-89,All,All,Aberdeenshire
S12000034,2015-2017,Count,Years,3.33,Female,80-84,All,All,Aberdeenshire
S12000042,2015-2017,95% Lower Confidence Limit,Years,0.61,Male,85-89,All,All,Dundee City
S12000042,2015-2017,95% Lower Confidence Limit,Years,32.48,Male,25-29,All,All,Dundee City
S12000042,2015-2017,95% Lower Confidence Limit,Years,1.52,Male,80-84,All,All,Dundee City
S12000042,2015-2017,95% Lower Confidence Limit,Years,0.32,Male,90+,All,All,Dundee City
S12000042,2015-2017,95% Lower Confidence Limit,Years,41.33,Male,15-19,All,All,Dundee City
S12000042,2015-2017,95% Lower Confidence Limit,Years,36.9,Male,20-24,All,All,Dundee City
S12000042,2015-2017,95% Lower Confidence Limit,Years,28.37,Male,30-34,All,All,Dundee City
S12000042,2015-2017,95% Lower Confidence Limit,Years,2.85,Male,75-79,All,All,Dundee City
S12000042,2015-2017,95% Lower Confidence Limit,Years,8.95,Male,60-64,All,All,Dundee City
S12000042,2015-2017,95% Lower Confidence Limit,Years,4.75,Male,70-74,All,All,Dundee City
S12000042,2015-2017,95% Lower Confidence Limit,Years,57.57,Female,0,All,All,Dundee City
S12000042,2015-2017,95% Lower Confidence Limit,Years,56.99,Female,1-4,All,All,Dundee City
S12000042,2015-2017,95% Lower Confidence Limit,Years,6.93,Male,65-69,All,All,Dundee City
S12000042,2015-2017,95% Lower Confidence Limit,Years,13.79,Female,55-59,All,All,Dundee City
S12000042,2015-2017,95% Lower Confidence Limit,Years,1.32,Female,85-89,All,All,Dundee City
S12000042,2015-2017,95% Lower Confidence Limit,Years,8.43,Female,65-69,All,All,Dundee City
S12000042,2015-2017,95% Lower Confidence Limit,Years,16.74,Female,50-54,All,All,Dundee City
S12000042,2015-2017,95% Lower Confidence Limit,Years,6.0,Female,70-74,All,All,Dundee City
S12000042,2015-2017,95% Lower Confidence Limit,Years,2.34,Female,80-84,All,All,Dundee City
S12000042,2015-2017,95% Lower Confidence Limit,Years,0.53,Female,90+,All,All,Dundee City
S12000042,2015-2017,95% Lower Confidence Limit,Years,11.55,Male,55-59,All,All,Dundee City
S12000042,2015-2017,95% Lower Confidence Limit,Years,24.37,Male,35-39,All,All,Dundee City
S12000042,2015-2017,95% Lower Confidence Limit,Years,14.58,Male,50-54,All,All,Dundee City
S12000042,2015-2017,95% Lower Confidence Limit,Years,20.88,Male,40-44,All,All,Dundee City
S12000042,2015-2017,95% Lower Confidence Limit,Years,11.06,Female,60-64,All,All,Dundee City
S12000042,2015-2017,95% Lower Confidence Limit,Years,17.83,Male,45-49,All,All,Dundee City
S12000042,2015-2017,95% Lower Confidence Limit,Years,53.83,Male,1-4,All,All,Dundee City
S12000042,2015-2017,95% Lower Confidence Limit,Years,50.25,Male,5-9,All,All,Dundee City
S12000042,2015-2017,95% Lower Confidence Limit,Years,45.8,Male,10-14,All,All,Dundee City
S12000042,2015-2017,95% Lower Confidence Limit,Years,54.3,Male,0,All,All,Dundee City
S12000042,2015-2017,95% Lower Confidence Limit,Years,27.2,Female,35-39,All,All,Dundee City
S12000042,2015-2017,95% Lower Confidence Limit,Years,31.16,Female,30-34,All,All,Dundee City
S12000042,2015-2017,95% Lower Confidence Limit,Years,20.06,Female,45-49,All,All,Dundee City
S12000042,2015-2017,95% Lower Confidence Limit,Years,35.32,Female,25-29,All,All,Dundee City
S12000042,2015-2017,95% Lower Confidence Limit,Years,44.14,Female,15-19,All,All,Dundee City
S12000042,2015-2017,95% Lower Confidence Limit,Years,39.68,Female,20-24,All,All,Dundee City
S12000042,2015-2017,95% Lower Confidence Limit,Years,3.9,Female,75-79,All,All,Dundee City
S12000042,2015-2017,95% Lower Confidence Limit,Years,48.68,Female,10-14,All,All,Dundee City
S12000042,2015-2017,95% Lower Confidence Limit,Years,23.57,Female,40-44,All,All,Dundee City
S12000042,2015-2017,95% Lower Confidence Limit,Years,53.3,Female,5-9,All,All,Dundee City
S12000042,2015-2017,95% Upper Confidence Limit,Years,49.91,Male,10-14,All,All,Dundee City
S12000042,2015-2017,95% Upper Confidence Limit,Years,54.53,Male,5-9,All,All,Dundee City
S12000042,2015-2017,95% Upper Confidence Limit,Years,58.64,Male,0,All,All,Dundee City
S12000042,2015-2017,95% Upper Confidence Limit,Years,58.19,Male,1-4,All,All,Dundee City
S12000042,2015-2017,95% Upper Confidence Limit,Years,5.89,Male,75-79,All,All,Dundee City
S12000042,2015-2017,95% Upper Confidence Limit,Years,11.82,Male,60-64,All,All,Dundee City
S12000042,2015-2017,95% Upper Confidence Limit,Years,7.59,Male,70-74,All,All,Dundee City
S12000042,2015-2017,95% Upper Confidence Limit,Years,62.05,Female,0,All,All,Dundee City
S12000042,2015-2017,95% Upper Confidence Limit,Years,61.5,Female,1-4,All,All,Dundee City
S12000042,2015-2017,95% Upper Confidence Limit,Years,9.72,Male,65-69,All,All,Dundee City
S12000042,2015-2017,95% Upper Confidence Limit,Years,39.5,Female,25-29,All,All,Dundee City
S12000042,2015-2017,95% Upper Confidence Limit,Years,31.17,Female,35-39,All,All,Dundee City
S12000042,2015-2017,95% Upper Confidence Limit,Years,23.65,Female,45-49,All,All,Dundee City
S12000042,2015-2017,95% Upper Confidence Limit,Years,35.24,Female,30-34,All,All,Dundee City
S12000042,2015-2017,95% Upper Confidence Limit,Years,14.55,Male,55-59,All,All,Dundee City
S12000042,2015-2017,95% Upper Confidence Limit,Years,28.0,Male,35-39,All,All,Dundee City
S12000042,2015-2017,95% Upper Confidence Limit,Years,40.68,Male,20-24,All,All,Dundee City
S12000042,2015-2017,95% Upper Confidence Limit,Years,17.67,Male,50-54,All,All,Dundee City
S12000042,2015-2017,95% Upper Confidence Limit,Years,24.38,Male,40-44,All,All,Dundee City
S12000042,2015-2017,95% Upper Confidence Limit,Years,14.18,Female,60-64,All,All,Dundee City
S12000042,2015-2017,95% Upper Confidence Limit,Years,21.07,Male,45-49,All,All,Dundee City
S12000042,2015-2017,95% Upper Confidence Limit,Years,2.61,Male,90+,All,All,Dundee City
S12000042,2015-2017,95% Upper Confidence Limit,Years,3.07,Male,85-89,All,All,Dundee City
S12000042,2015-2017,95% Upper Confidence Limit,Years,4.62,Male,80-84,All,All,Dundee City
S12000042,2015-2017,95% Upper Confidence Limit,Years,32.04,Male,30-34,All,All,Dundee City
S12000042,2015-2017,95% Upper Confidence Limit,Years,45.27,Male,15-19,All,All,Dundee City
S12000042,2015-2017,95% Upper Confidence Limit,Years,36.21,Male,25-29,All,All,Dundee City
S12000042,2015-2017,95% Upper Confidence Limit,Years,48.53,Female,15-19,All,All,Dundee City
S12000042,2015-2017,95% Upper Confidence Limit,Years,44.0,Female,20-24,All,All,Dundee City
S12000042,2015-2017,95% Upper Confidence Limit,Years,5.3,Female,80-84,All,All,Dundee City
S12000042,2015-2017,95% Upper Confidence Limit,Years,6.86,Female,75-79,All,All,Dundee City
S12000042,2015-2017,95% Upper Confidence Limit,Years,53.13,Female,10-14,All,All,Dundee City
S12000042,2015-2017,95% Upper Confidence Limit,Years,27.33,Female,40-44,All,All,Dundee City
S12000042,2015-2017,95% Upper Confidence Limit,Years,57.8,Female,5-9,All,All,Dundee City
S12000042,2015-2017,95% Upper Confidence Limit,Years,20.18,Female,50-54,All,All,Dundee City
S12000042,2015-2017,95% Upper Confidence Limit,Years,17.08,Female,55-59,All,All,Dundee City
S12000042,2015-2017,95% Upper Confidence Limit,Years,11.42,Female,65-69,All,All,Dundee City
S12000042,2015-2017,95% Upper Confidence Limit,Years,2.88,Female,90+,All,All,Dundee City
S12000042,2015-2017,95% Upper Confidence Limit,Years,9.02,Female,70-74,All,All,Dundee City
S12000042,2015-2017,95% Upper Confidence Limit,Years,3.8,Female,85-89,All,All,Dundee City
S12000042,2015-2017,Count,Years,38.79,Male,20-24,All,All,Dundee City
S12000042,2015-2017,Count,Years,30.2,Male,30-34,All,All,Dundee City
S12000042,2015-2017,Count,Years,43.3,Male,15-19,All,All,Dundee City
S12000042,2015-2017,Count,Years,59.81,Female,0,All,All,Dundee City
S12000042,2015-2017,Count,Years,8.33,Male,65-69,All,All,Dundee City
S12000042,2015-2017,Count,Years,59.25,Female,1-4,All,All,Dundee City
S12000042,2015-2017,Count,Years,4.37,Male,75-79,All,All,Dundee City
S12000042,2015-2017,Count,Years,10.39,Male,60-64,All,All,Dundee City
S12000042,2015-2017,Count,Years,1.84,Male,85-89,All,All,Dundee City
S12000042,2015-2017,Count,Years,34.35,Male,25-29,All,All,Dundee City
S12000042,2015-2017,Count,Years,3.07,Male,80-84,All,All,Dundee City
S12000042,2015-2017,Count,Years,1.46,Male,90+,All,All,Dundee City
S12000042,2015-2017,Count,Years,6.17,Male,70-74,All,All,Dundee City
S12000042,2015-2017,Count,Years,47.85,Male,10-14,All,All,Dundee City
S12000042,2015-2017,Count,Years,52.39,Male,5-9,All,All,Dundee City
S12000042,2015-2017,Count,Years,56.01,Male,1-4,All,All,Dundee City
S12000042,2015-2017,Count,Years,56.47,Male,0,All,All,Dundee City
S12000042,2015-2017,Count,Years,2.56,Female,85-89,All,All,Dundee City
S12000042,2015-2017,Count,Years,15.43,Female,55-59,All,All,Dundee City
S12000042,2015-2017,Count,Years,1.7,Female,90+,All,All,Dundee City
S12000042,2015-2017,Count,Years,9.92,Female,65-69,All,All,Dundee City
S12000042,2015-2017,Count,Years,18.46,Female,50-54,All,All,Dundee City
S12000042,2015-2017,Count,Years,5.38,Female,75-79,All,All,Dundee City
S12000042,2015-2017,Count,Years,46.34,Female,15-19,All,All,Dundee City
S12000042,2015-2017,Count,Years,7.51,Female,70-74,All,All,Dundee City
S12000042,2015-2017,Count,Years,3.82,Female,80-84,All,All,Dundee City
S12000042,2015-2017,Count,Years,16.12,Male,50-54,All,All,Dundee City
S12000042,2015-2017,Count,Years,13.05,Male,55-59,All,All,Dundee City
S12000042,2015-2017,Count,Years,22.63,Male,40-44,All,All,Dundee City
S12000042,2015-2017,Count,Years,12.62,Female,60-64,All,All,Dundee City
S12000042,2015-2017,Count,Years,26.18,Male,35-39,All,All,Dundee City
S12000042,2015-2017,Count,Years,19.45,Male,45-49,All,All,Dundee City
S12000042,2015-2017,Count,Years,50.91,Female,10-14,All,All,Dundee City
S12000042,2015-2017,Count,Years,25.45,Female,40-44,All,All,Dundee City
S12000042,2015-2017,Count,Years,41.84,Female,20-24,All,All,Dundee City
S12000042,2015-2017,Count,Years,55.55,Female,5-9,All,All,Dundee City
S12000042,2015-2017,Count,Years,29.18,Female,35-39,All,All,Dundee City
S12000042,2015-2017,Count,Years,33.2,Female,30-34,All,All,Dundee City
S12000042,2015-2017,Count,Years,21.85,Female,45-49,All,All,Dundee City
S12000042,2015-2017,Count,Years,37.41,Female,25-29,All,All,Dundee City
S12000039,2015-2017,95% Lower Confidence Limit,Years,0.94,Female,85-89,All,All,West Dunbartonshire
S12000039,2015-2017,95% Lower Confidence Limit,Years,57.9,Female,0,All,All,West Dunbartonshire
S12000039,2015-2017,95% Lower Confidence Limit,Years,0.62,Male,90+,All,All,West Dunbartonshire
S12000039,2015-2017,95% Lower Confidence Limit,Years,56.98,Female,1-4,All,All,West Dunbartonshire
S12000039,2015-2017,95% Lower Confidence Limit,Years,1.19,Male,85-89,All,All,West Dunbartonshire
S12000039,2015-2017,95% Lower Confidence Limit,Years,4.71,Male,70-74,All,All,West Dunbartonshire
S12000039,2015-2017,95% Lower Confidence Limit,Years,1.92,Male,80-84,All,All,West Dunbartonshire
S12000039,2015-2017,95% Lower Confidence Limit,Years,53.08,Female,5-9,All,All,West Dunbartonshire
S12000039,2015-2017,95% Lower Confidence Limit,Years,48.29,Female,10-14,All,All,West Dunbartonshire
S12000039,2015-2017,95% Lower Confidence Limit,Years,3.11,Male,75-79,All,All,West Dunbartonshire
S12000039,2015-2017,95% Lower Confidence Limit,Years,7.04,Female,65-69,All,All,West Dunbartonshire
S12000039,2015-2017,95% Lower Confidence Limit,Years,3.02,Female,75-79,All,All,West Dunbartonshire
S12000039,2015-2017,95% Lower Confidence Limit,Years,9.57,Female,60-64,All,All,West Dunbartonshire
S12000039,2015-2017,95% Lower Confidence Limit,Years,1.81,Female,80-84,All,All,West Dunbartonshire
S12000039,2015-2017,95% Lower Confidence Limit,Years,0.3,Female,90+,All,All,West Dunbartonshire
S12000039,2015-2017,95% Lower Confidence Limit,Years,4.82,Female,70-74,All,All,West Dunbartonshire
S12000039,2015-2017,95% Lower Confidence Limit,Years,15.51,Female,50-54,All,All,West Dunbartonshire
S12000039,2015-2017,95% Lower Confidence Limit,Years,12.41,Female,55-59,All,All,West Dunbartonshire
S12000039,2015-2017,95% Lower Confidence Limit,Years,43.6,Female,15-19,All,All,West Dunbartonshire
S12000039,2015-2017,95% Lower Confidence Limit,Years,39.05,Female,20-24,All,All,West Dunbartonshire
S12000039,2015-2017,95% Lower Confidence Limit,Years,18.9,Female,45-49,All,All,West Dunbartonshire
S12000039,2015-2017,95% Lower Confidence Limit,Years,22.42,Female,40-44,All,All,West Dunbartonshire
S12000039,2015-2017,95% Lower Confidence Limit,Years,26.28,Female,35-39,All,All,West Dunbartonshire
S12000039,2015-2017,95% Lower Confidence Limit,Years,34.59,Female,25-29,All,All,West Dunbartonshire
S12000039,2015-2017,95% Lower Confidence Limit,Years,30.33,Female,30-34,All,All,West Dunbartonshire
S12000039,2015-2017,95% Lower Confidence Limit,Years,32.92,Male,25-29,All,All,West Dunbartonshire
S12000039,2015-2017,95% Lower Confidence Limit,Years,28.77,Male,30-34,All,All,West Dunbartonshire
S12000039,2015-2017,95% Lower Confidence Limit,Years,24.9,Male,35-39,All,All,West Dunbartonshire
S12000039,2015-2017,95% Lower Confidence Limit,Years,21.23,Male,40-44,All,All,West Dunbartonshire
S12000039,2015-2017,95% Lower Confidence Limit,Years,6.78,Male,65-69,All,All,West Dunbartonshire
S12000039,2015-2017,95% Lower Confidence Limit,Years,17.79,Male,45-49,All,All,West Dunbartonshire
S12000039,2015-2017,95% Lower Confidence Limit,Years,8.98,Male,60-64,All,All,West Dunbartonshire
S12000039,2015-2017,95% Lower Confidence Limit,Years,55.49,Male,1-4,All,All,West Dunbartonshire
S12000039,2015-2017,95% Lower Confidence Limit,Years,46.6,Male,10-14,All,All,West Dunbartonshire
S12000039,2015-2017,95% Lower Confidence Limit,Years,41.78,Male,15-19,All,All,West Dunbartonshire
S12000039,2015-2017,95% Lower Confidence Limit,Years,37.26,Male,20-24,All,All,West Dunbartonshire
S12000039,2015-2017,95% Lower Confidence Limit,Years,51.56,Male,5-9,All,All,West Dunbartonshire
S12000039,2015-2017,95% Lower Confidence Limit,Years,14.58,Male,50-54,All,All,West Dunbartonshire
S12000039,2015-2017,95% Lower Confidence Limit,Years,11.59,Male,55-59,All,All,West Dunbartonshire
S12000039,2015-2017,95% Lower Confidence Limit,Years,56.33,Male,0,All,All,West Dunbartonshire
S12000039,2015-2017,95% Upper Confidence Limit,Years,17.38,Male,50-54,All,All,West Dunbartonshire
S12000039,2015-2017,95% Upper Confidence Limit,Years,20.76,Male,45-49,All,All,West Dunbartonshire
S12000039,2015-2017,95% Upper Confidence Limit,Years,14.27,Male,55-59,All,All,West Dunbartonshire
S12000039,2015-2017,95% Upper Confidence Limit,Years,60.03,Male,0,All,All,West Dunbartonshire
S12000039,2015-2017,95% Upper Confidence Limit,Years,24.33,Male,40-44,All,All,West Dunbartonshire
S12000039,2015-2017,95% Upper Confidence Limit,Years,36.44,Male,25-29,All,All,West Dunbartonshire
S12000039,2015-2017,95% Upper Confidence Limit,Years,28.14,Male,35-39,All,All,West Dunbartonshire
S12000039,2015-2017,95% Upper Confidence Limit,Years,11.53,Male,60-64,All,All,West Dunbartonshire
S12000039,2015-2017,95% Upper Confidence Limit,Years,9.26,Male,65-69,All,All,West Dunbartonshire
S12000039,2015-2017,95% Upper Confidence Limit,Years,32.15,Male,30-34,All,All,West Dunbartonshire
S12000039,2015-2017,95% Upper Confidence Limit,Years,40.84,Male,20-24,All,All,West Dunbartonshire
S12000039,2015-2017,95% Upper Confidence Limit,Years,59.19,Male,1-4,All,All,West Dunbartonshire
S12000039,2015-2017,95% Upper Confidence Limit,Years,45.44,Male,15-19,All,All,West Dunbartonshire
S12000039,2015-2017,95% Upper Confidence Limit,Years,55.27,Male,5-9,All,All,West Dunbartonshire
S12000039,2015-2017,95% Upper Confidence Limit,Years,50.3,Male,10-14,All,All,West Dunbartonshire
S12000039,2015-2017,95% Upper Confidence Limit,Years,7.0,Female,70-74,All,All,West Dunbartonshire
S12000039,2015-2017,95% Upper Confidence Limit,Years,5.16,Female,75-79,All,All,West Dunbartonshire
S12000039,2015-2017,95% Upper Confidence Limit,Years,61.41,Female,0,All,All,West Dunbartonshire
S12000039,2015-2017,95% Upper Confidence Limit,Years,2.61,Male,90+,All,All,West Dunbartonshire
S12000039,2015-2017,95% Upper Confidence Limit,Years,60.51,Female,1-4,All,All,West Dunbartonshire
S12000039,2015-2017,95% Upper Confidence Limit,Years,2.34,Female,85-89,All,All,West Dunbartonshire
S12000039,2015-2017,95% Upper Confidence Limit,Years,9.29,Female,65-69,All,All,West Dunbartonshire
S12000039,2015-2017,95% Upper Confidence Limit,Years,11.96,Female,60-64,All,All,West Dunbartonshire
S12000039,2015-2017,95% Upper Confidence Limit,Years,3.56,Female,80-84,All,All,West Dunbartonshire
S12000039,2015-2017,95% Upper Confidence Limit,Years,1.46,Female,90+,All,All,West Dunbartonshire
S12000039,2015-2017,95% Upper Confidence Limit,Years,37.81,Female,25-29,All,All,West Dunbartonshire
S12000039,2015-2017,95% Upper Confidence Limit,Years,33.45,Female,30-34,All,All,West Dunbartonshire
S12000039,2015-2017,95% Upper Confidence Limit,Years,3.35,Male,85-89,All,All,West Dunbartonshire
S12000039,2015-2017,95% Upper Confidence Limit,Years,7.23,Male,70-74,All,All,West Dunbartonshire
S12000039,2015-2017,95% Upper Confidence Limit,Years,25.35,Female,40-44,All,All,West Dunbartonshire
S12000039,2015-2017,95% Upper Confidence Limit,Years,4.45,Male,80-84,All,All,West Dunbartonshire
S12000039,2015-2017,95% Upper Confidence Limit,Years,56.59,Female,5-9,All,All,West Dunbartonshire
S12000039,2015-2017,95% Upper Confidence Limit,Years,51.77,Female,10-14,All,All,West Dunbartonshire
S12000039,2015-2017,95% Upper Confidence Limit,Years,5.83,Male,75-79,All,All,West Dunbartonshire
S12000039,2015-2017,95% Upper Confidence Limit,Years,42.37,Female,20-24,All,All,West Dunbartonshire
S12000039,2015-2017,95% Upper Confidence Limit,Years,18.1,Female,50-54,All,All,West Dunbartonshire
S12000039,2015-2017,95% Upper Confidence Limit,Years,47.01,Female,15-19,All,All,West Dunbartonshire
S12000039,2015-2017,95% Upper Confidence Limit,Years,29.32,Female,35-39,All,All,West Dunbartonshire
S12000039,2015-2017,95% Upper Confidence Limit,Years,21.64,Female,45-49,All,All,West Dunbartonshire
